№,АCУУЛТ,ХАРИУЛТ
1,CRM гэж юу вэ,"(Customer Relationship Management  System) нь хэрэглэгчийг судлан, хүсэл сонирхлыг нь мэдэрч түүнд төвлөрсөн "
2,, Маркетинг
3,, Борлуулалт
4,, Үйлчилгээг хэрэгжүүлэх үйл ажиллагааг автоматжуулсан систем юм.
5,Funnel гэж юу вэ,
6,Харилцагчийн бүртгэл яаж бүртгэх вэ,"Харилцагчтай түншлэх систем- Харилцагч - Харилцагч дэлгэцийн Шинэ товчоор харилцагчийн ерөнхий мэдээлэл, үндсэн холбоо барих нэг хүний мэдээлэл, харилцах банкны тухай мэдээллүүдээр бүртгэнэ."
7,Сураг гэж юу вэ,"Борлуулалтын тухай бүх мэдээ, мэдээллүүд юм."
8,Боломж гэж юу вэ,80 хувь нь борлуулалт болох магадлалтай сураг юм
9,Захиалга гэж юу вэ,Харилцагчид нийлүүлэх борлуулалтын захиалга юм.
10,Засвар үйлчилгээний хүсэлт гэж юу вэ,Бүх төрлийн засвар хийлгэх үйлчилгээний процесс юм.
11,Хүргэлт гэж юу вэ,Харилцагчийн захиалгыг хүргэж өгөх үйлдэл юм. Нийлүүлсэн бараа бүтээгдэхүүнийг бүгдийг болон хэсэгчлэн хүргэх боломжуудтай
12,Буцаалт яаж хийх вэ,Харилцагчид нийлүүлсэн борлуулалтын захиалга хэрэглэгчийн гомдлоор буцаан авч шийдвэрлэх процесс бөгөөд Харилцагчтай түншлэх систем - Борлуулалт - Буцаалт цэснээс Шинэ товчоор бүртгэнэ. 
13,Хүргэлтийг яаж хийх вэ,Харилцагчтай түншлэх систем - Борлуулалт - Хүргэлт цэснээс Шинэ товчоор бүртгэнэ.
14,Борлуулж байгаа барааны үнэ өөрчлөх боломжтой юу,Боломжтой. Барааны жагсаалт хэсгийн барааны борлуулах үнэ талбараар өөрчлөх боломжтой
15,Сургийг хэрхэн боломж болгох вэ,Тухайн сураг дэлгэц нээгээд Үндсэн хэсгийн Үнэлэх товч дарж хөрвүүлнэ.
16,Боломжоос яаж захиалга хийх вэ,Тухайн боломж дэлгэц нээгээд Үндсэн хэсгийн Хөрвүүлэх товч дарснаар борлуулалтын Захиалга үүснэ
17,Боломжоос яаж үнийн санал үүсгэх вэ,Тухайн боломж дэлгэц нээгээд Үнийн санал хэсгийн Шинэ товч дарснаар үнийн санал бүртгэлийн дэлгэцээр үүсгэнэ
18,Ажилбар гэж юу вэ,"Харилцагчтай түншлэх системийн бүх хэсгүүдэд ямар нэг action хийх буюу утсаар ярих, уулзалт хийх, имэйл бичих , даалгавар биелүүлсэн тухай бүртгэлүүд юм."
19,Сураг дээр хэрхэн ажилбар бүртгэх вэ,Тухайн сураг нээгээд Ажилбар таб-д ажилбарын төрлөө сонгоод бүртгэнэ
20,Боломж дээр хэрхэн ажилбар бүртгэх вэ,Тухайн боломж нээгээд Ажилбар таб-д ажилбарын төрлөө сонгоод бүртгэнэ
21,Сургийн эх сурвалж хаана бүртгэх вэ,Харилцагчтай түншлэх системийн Тохиргоо - Тогтмол бүртгэх - дэлгэц талбараас Ерөнхий сонгоод Эх сурвалж хэсэгт бүртгэнэ
22,Сургаас харилцагч хэрхэн бүртгэх вэ,Тухайн сураг нээгээд Үнэлэх товч дарснаар Харилцагч гэдгийг шалгаад бизнесийн түнш  төрөл сонгоод  хөрвүүлэх товч дарна
23,Холбоо барих мэдээлэл хэрхэн бүртгэх вэ,Тухайн харилцагчийн бүртгэл дэлгэцийн Холбоо барих мэдээлэл табад нэг болон түүнээс дээш мэдээлэл бүртгэнэ
24,Өрсөлдөгчид алдсан боломжийг бүртгэх боломжтой юу,Боломжтой. Боломж бүртгэх дэлгэцийн Өрсөлдөгч хэсэг мэдээллийг бүртгэнэ
25,Харилцагчаас ирсэн гомдол бүртгэх боломжтой юу,Харилцагчтай түншлэх системийн Маркетинг цэс Санал гомдол дэлгэцэнд тухайн харилцагчийг сонгоод бүртгэнэ
26,Харилцагчийн дуудлагууд бүртгэх боломжтой юу,Боломжтой Дуудлагын төв дэлгэцэд бүртгэлтэй харилцагчийн дугаараар таньж автоматаар бүртгэх боломжтой
27,Нэхэмжлэх хэрхэн үүсгэдэг вэ,Борлуулалтын захиалга  хэсгээс төлбөр төлөх нэхэмжлэх үүсгэх таб-аас үүсгэнэ
28,Борлуулсан захиалга дээр и-баримт өгөх боломжтой юу,Боломжтой. Баталгаажсан борлуулалтын захиалгаас Үйлдэл - Е баримт хэвлэх гээд авна
29,Буруу өгсөн и-баримтыг буцаах боломжтой юу,Боломжтой.  Тохиргоо - И баримт жагсаалт нээгээд Буцаах товчоор хийнэ
30,Борлуулалтын хямдрал хэрхэн оруулах вэ,"Борлуулалтын захиалгын тухайн бараа бүр дээр хямдрал дүнгээр, хувиар өгөх болон борлуулалтын нийт үнийн дүнд хямдрал өгөх боломжтой. Үнийн дүн - Хямдрал"
31,Дуудлагын төв гэж юу вэ,Харилцагчийн өгсөн дуудлага бүрийг аваад шийдвэрлэх процесс юм
32,Хэрэглэгчийн өмч гэж юу вэ,Үйлчилгээний модулийн дэд хэсэг бөгөөд тухайн харилцагчийн өөрийн өмчид үйлчилгээ үзүүлсэн бүртгэлийг хийх боломж юм
51,Харилцагчийн түүхийг харах боломжтой юу,"Боломжтой. Тухайн харилцагчийн мэдээлэл, нийлүүлсэн бүх борлуулалт, үнийн санал, сураг, боломж, нэхэмжлэхүүдийг нэг дор харах боломжтой. Харилцагч - Харилцагч  цэсээр харна."
52,Зорилго гэж юу вэ,"Борлуулалтын төлөвлөгөө хийж борлуулалттай харьцуулан гүйцэтгэл, биелэлтийг хэмжих боломж юм"
53,Зорилгыг хэрхэн хэмжих вэ,Зорилгод хүрэх хэмжүүрүүдийг тодорхойлж өгнө . CRM Хэмжүүр цэсэнд бүртгэнэ
54,Санал гомдолоос буцаалт хийх боломжтой юу,Санал гомдол бүртгээд Шийдэж байна төлөвөөс тухайн буцаах барааг нийлүүлсэн захиалгаас татаж оруулаад Буцаалт товчоор хийнэ
55,Борлуулсан барааны баталгаат хуудсаар засвар үйлчилгээ авах боломжтой юу,Боломжтой
56,Засвар хийлгэх хүсэлт хэрхэн бүртгэх вэ,Харилцагчтай түншлэх систем -> Үйлчилгээ -> Засвар үйлчилгээний хүсэлт цэснээс засвар үйлчилгээний хүсэлтийн жагсаалтыг дуудна. Жагсаалтаас шинэ дарж шинэээр засвар үйлчилгээний хүсэлт бүртгэнэ.
57,ЗҮХ -ийн нийт хугацааг тооцоолох боломжтой юу,Боломжтой. 
58,RMA захиалга гэж юу вэ,"Ажил, үйлчилгээ хийх үедээ онош тогтоон үйлдвэрлэгчийн баталгаат хугацаанд байвал RMA, баталгаат хугацаа нь дууссан бол Үйлдвэрлэгчээс сэлбэг захиалах хүсэлт үүсгэж болно."
59,Үйлчилгээнд ашиглах сэлбэгийг бүртгэл хийх боломжтой юу,Боломжтой. 
60,Үйлчилгээнд ашиглах багаж төхөөрөмжийг бүртгэх боломжтой юу,Боломжтой. 
61,Тоног  төхөөрөмжийг  нөөцийг тодорхойлох боломжтой юу,Боломжтой. 
62,Үйлчилгээнд баталгаат хугацаа өгдөг үү,Гүйцэтгэсэн үйлчилгээндээ баталгаат хугацаа өгөх боломжтой.
63,Сэлбэгийг хэрхэн захиалах вэ,"ЗҮХ дэлгэцийн үндсэн таб дээрээс ""Үнэ асуух хүсэлт"" командаар үнэ асуух хүсэлт үүсгэнэ. Үнэ асуух хүсэлтээр үнэ гарсны дараа захиалга үүсгэнэ."
64,Үйлчилгээний гэрээ хэрхэн байгуулах вэ,Харилцагчтай түншлэх систем -> Үйлчилгээ -> Гэрээ хэсэгт үйлчилгээний гэрээ   бүртгэнэ.